 Year,Month,Day,Duration,Latitude,Longitude,Magnitude,Depth,Catalog
1995,1,6,223734,40.2,142.2,7,26,PDE  
1995,2,5,225105,-37.8,178.8,7.1,21,PDE  
1995,4,7,220657,-15.2,-173.5,7.4,21,PDE  
1995,4,21,3446,12.1,125.6,7.2,20,PDE  
1995,5,5,35345,12.6,125.3,7.1,16,PDE  
1995,5,16,201244,-23,169.9,7.7,20,PDE  
1995,5,27,130353,52.6,142.8,7.1,11,PDE  
1995,7,3,195051,-29.2,-177.6,7.2,35,PDE  
1995,7,30,51124,-23.3,-70.3,8,45,PDE  
1995,8,16,102729,-5.8,154.2,7.7,30,PDE  
1995,8,16,231024,-5.8,154.3,7.2,33,PDE  
1995,8,23,70603,18.9,145.2,7.1,594,PDE  
1995,9,14,140431,16.8,-98.6,7.4,23,PDE  
1995,10,3,15124,-2.8,-77.9,7,24,PDE  
1995,10,9,153554,19.1,-104.2,8,33,PDE  
1995,10,18,103726,27.9,130.2,7.1,28,PDE  
1995,10,21,23857,16.8,-93.5,7.2,159,PDE  
1995,11,22,41512,28.8,34.8,7.2,10,PDE  
1995,12,3,180109,44.7,149.3,7.9,33,PDE  
1995,12,25,44324,-6.9,129.2,7.1,141,PDE  
1996,1,1,80511,0.7,119.9,7.9,24,PDE  
1996,2,7,213646,45.3,149.9,7.2,42,PDE  
1996,2,17,55931,-0.9,137,8.2,33,PDE  
1996,2,21,125101,-9.6,-79.6,7.5,10,PDE  
1996,2,25,30816,16,-98.1,7.1,21,PDE  
1996,4,16,3055,-24.1,-177,7.2,110,PDE  
1996,4,29,144041,-6.5,155,7.2,44,PDE  
1996,6,2,25210,10.8,-42.3,7,10,PDE  
1996,6,10,40335,51.6,-177.6,7.9,33,PDE  
1996,6,10,152456,51.5,-176.8,7.3,26,PDE  
1996,6,11,182256,12.6,125.2,7.1,33,PDE  
1996,6,17,112219,-7.1,122.6,7.9,587,PDE  
1996,7,22,141936,1,120.5,7,33,PDE  
1996,8,5,223822,-20.7,-178.3,7.4,550,PDE  
1996,11,12,165944,-15,-75.7,7.7,33,PDE  
1997,1,11,202826,18.2,-102.8,7.2,33,PDE  
1997,1,23,21523,-22,-65.7,7.1,276,PDE  
1997,2,27,210802,30,68.2,7.1,33,PDE  
1997,4,21,120226,-12.6,166.7,7.7,33,PDE  
1997,5,10,75730,33.8,59.8,7.3,10,PDE  
1997,5,25,232233,-32.1,179.8,7.1,332,PDE  
1997,7,9,192413,10.6,-63.5,7,19,PDE  
1997,9,20,161132,-28.7,-177.6,7,30,PDE  
1997,10,14,95318,-22.1,-176.8,7.8,167,PDE  
1997,10,15,10333,-30.9,-71.2,7.1,58,PDE  
1997,10,28,61517,-4.4,-76.7,7.2,112,PDE  
1997,11,8,100253,35.1,87.3,7.5,33,PDE  
1997,11,15,185924,-15.1,167.4,7,123,PDE  
1997,11,25,121434,1.2,122.5,7,24,PDE  
1997,12,5,112655,54.8,162,7.8,33,PDE  
1997,12,22,20550,-5.5,147.9,7.2,179,PDE  
1998,1,4,61159,-22.3,170.9,7.5,100,PDE  
1998,1,30,121609,-23.9,-70.2,7.1,42,PDE  
1998,3,25,31225,-62.9,149.5,8.1,10,PDE  
1998,3,29,194816,-17.6,-179.1,7.2,537,PDE  
1998,4,1,175623,-0.5,99.3,7,55,PDE  
1998,5,3,233022,22.3,125.3,7.5,33,PDE  
1998,7,16,115636,-11,166.2,7,110,PDE  
1998,7,17,84913,-3,141.9,7,10,PDE  
1998,8,4,185920,-0.6,-80.4,7.2,33,PDE  
1998,8,20,64056,28.9,139.3,7.1,440,PDE  
1998,11,9,53844,-6.9,128.9,7,33,PDE  
1998,11,29,141032,-2.1,124.9,7.7,33,PDE  
1999,1,19,33534,-4.6,153.2,7,114,PDE  
1999,2,6,214759,-12.9,166.7,7.3,90,PDE  
1999,3,4,85202,5.4,121.9,7.1,33,PDE  
1999,4,5,110804,-5.6,149.6,7.4,150,PDE  
1999,4,8,131034,43.6,130.4,7.1,565,PDE  
1999,5,10,203302,-5.2,150.9,7.1,138,PDE  
1999,5,16,5120,-4.8,152.5,7.1,73,PDE  
1999,6,15,204206,18.4,-97.4,7,70,PDE  
1999,8,17,139,40.7,29.9,7.6,17,PDE  
1999,9,20,174718,23.8,121,7.7,33,PDE  
1999,9,30,163116,16.1,-96.9,7.5,60,PDE  
1999,10,16,94644,34.6,-116.3,7.1,0,PDE  
1999,11,12,165720,40.8,31.2,7.2,10,PDE  
1999,11,15,54243,-1.3,89,7,10,PDE  
1999,11,19,135646,-6.4,148.8,7,33,PDE  
1999,11,26,132116,-16.4,168.2,7.5,33,PDE  
1999,12,6,231234,57.4,-154.5,7,66,PDE  
1999,12,11,180336,15.8,119.7,7.3,33,PDE  
2000,1,8,164721,-16.9,-174.2,7.2,183,PDE  
2000,2,25,14359,-19.5,173.8,7.1,33,PDE  
2000,3,28,110023,22.3,143.7,7.6,126,PDE  
2000,4,23,92723,-28.3,-63,7,608,PDE  
2000,5,4,42116,-1.1,123.6,7.6,26,PDE  
2000,5,12,184318,-23.5,-66.5,7.2,225,PDE  
2000,6,4,162826,-4.7,102.1,7.9,33,PDE  
2000,6,18,144413,-13.8,97.5,7.9,10,PDE  
2000,8,6,72713,28.9,139.6,7.4,394,PDE  
2000,10,4,165844,-15.4,166.9,7,23,PDE  
2000,10,29,83709,-4.8,153.9,7,50,PDE  
2000,11,16,45457,-4,152.2,8,33,PDE  
2000,11,16,74217,-5.2,153.1,7.8,30,PDE  
2000,11,17,210156,-5.5,151.8,7.8,33,PDE  
2000,12,6,171106,39.6,54.8,7,30,PDE  
2001,1,1,65704,6.9,126.6,7.5,33,PDE  
2001,1,9,164928,-14.9,167.2,7.1,103,PDE  
2001,1,10,160244,57.1,-153.2,7,33,PDE  
2001,1,13,173332,13,-88.7,7.7,60,PDE  
2001,1,26,31641,23.4,70.2,7.7,16,PDE  
2001,2,13,192830,-4.7,102.6,7.4,36,PDE  
2001,2,24,72349,1.3,126.2,7.1,35,PDE  
2001,6,3,24157,-29.7,-178.6,7.2,178,PDE  
2001,6,23,203314,-16.3,-73.6,8.4,33,PDE  
2001,7,7,93844,-17.5,-72.1,7.6,33,PDE  
2001,8,21,65206,-36.8,-179.6,7.1,33,PDE  
2001,10,12,150217,12.7,145,7,37,PDE  
2001,10,19,32844,-4.1,123.9,7.5,33,PDE  
2001,10,31,91020,-5.9,150.2,7,33,PDE  
2001,11,14,92610,35.9,90.5,7.8,10,PDE  
2001,12,12,140235,-42.8,124.7,7.1,10,PDE  
2002,1,2,172249,-17.6,167.9,7.2,21,PDE  
2002,3,3,120820,36.5,70.5,7.4,225,PDE  
2002,3,5,211609,6,124.2,7.5,31,PDE  
2002,3,31,65250,24.3,122.2,7.1,32,PDE  
2002,4,26,160607,13.1,144.6,7.1,85,PDE  
2002,6,28,171930,43.8,130.7,7.3,566,PDE  
